feature,importance,std
person_income,0.09157416750156117,0.0038297303589751868
loan_grade,0.07603754614243029,0.0028042105129005845
loan_amnt,0.07200590170687554,0.0026338360157773023
person_home_ownership,0.01825232922166401,0.0013559933966275344
person_age,0.01262609287836498,0.0006178244842155894
cb_person_cred_hist_length,0.007510657182503466,0.0009462569033568976
loan_int_rate,0.006572325078444363,0.0008483295541589332
person_income_log,0.004267034079767695,0.00045686858237573615
loan_intent,0.00382133436675709,0.0005500480981583181
loan_percent_income,0.000287804944837422,3.2668189399489405e-05
person_emp_length,8.341206046008631e-05,0.00012969411626210852
cb_person_default_on_file,-0.00020418453281330075,4.711677989209523e-05
